OrganizationIdentifier,OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityMediaSubdivisionName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,ActivityEndDate,ActivityEndTime.Time,ActivityEndTime.TimeZoneCode,ActivityDepthHeightMeasure.MeasureValue,ActivityDepthHeightMeasure.MeasureUnitCode,ActivityDepthAltitudeReferencePointText,ActivityTopDepthHeightMeasure.MeasureValue,ActivityTopDepthHeightMeasure.MeasureUnitCode,ActivityBottomDepthHeightMeasure.MeasureValue,ActivityBottomDepthHeightMeasure.MeasureUnitCode,ProjectIdentifier,ActivityConductingOrganizationText,MonitoringLocationIdentifier,ActivityCommentText,SampleAquifer,HydrologicCondition,HydrologicEvent,SampleCollectionMethod.MethodIdentifier,SampleCollectionMethod.MethodIdentifierContext,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultDetectionConditionText,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure.MeasureUnitCode,MeasureQualifierCode,ResultStatusIdentifier,StatisticalBaseCode,ResultValueTypeName,ResultWeightBasisText,ResultTimeBasisText,ResultTemperatureBasisText,ResultParticleSizeBasisText,PrecisionValue,ResultCommentText,USGSPCode,ResultDepthHeightMeasure.MeasureValue,ResultDepthHeightMeasure.MeasureUnitCode,ResultDepthAltitudeReferencePointText,SubjectTaxonomicName,SampleTissueAnatomyName,ResultAnalyticalMethod.MethodIdentifier,ResultAnalyticalMethod.MethodIdentifierContext,ResultAnalyticalMethod.MethodName,MethodDescriptionText,LaboratoryName,AnalysisStartDate,ResultLaboratoryCommentText,DetectionQuantitationLimitTypeName,DetectionQuantitationLimitMeasure.MeasureValue,DetectionQuantitationLimitMeasure.MeasureUnitCode,PreparationStartDate,ProviderName,ActivityStartTime.TimeZoneCode_offset,ActivityStartDateTime,ActivityEndTime.TimeZoneCode_offset,ActivityEndDateTime
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02104922,Sample-Routine,Water,Surface Water,2020-10-01,00:00:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04084911,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.211,mg/l as P,NA,Accepted,NA,Estimated,NA,NA,NA,NA,NA,value estimated using GCLAS,00665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,6,2020-10-01T06:00:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02105097,Sample-Routine,Water,Surface Water,2020-10-01,00:00:00,CST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04072076,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.084,mg/l as P,NA,Preliminary,NA,Estimated,NA,NA,NA,NA,NA,value estimated using GCLAS,00665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,6,2020-10-01T06:00:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100423,Sample-Routine,Water,Surface Water,2020-10-06,07:55:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04072076,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.028,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,N4 Reported result is greater than the LOQ and less than the LOD for this method.,00666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T12:55:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100423,Sample-Routine,Water,Surface Water,2020-10-06,07:55:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04072076,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.050,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,N4 Reported result is greater than the LOQ and less than the LOD for this method.,00665,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T12:55:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100492,Sample-Routine,Water,Surface Water,2020-10-06,08:24:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085074,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,Detected Not Quantified,Nitrate,Dissolved,NA,NA,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00618,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,Lower Quantitation Limit,0.01,mg/l as N,NA,NWIS,5,2020-10-06T13:24:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100492,Sample-Routine,Water,Surface Water,2020-10-06,08:24:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085074,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Chloride,Dissolved,31.1,mg/l,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00940,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T13:24:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100492,Sample-Routine,Water,Surface Water,2020-10-06,08:24:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085074,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Dissolved,0.154,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00666,NA,NA,NA,NA,NA,AKP03,USGS,"Nutrients, wf, persulfate (NE)",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T13:24:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100492,Sample-Routine,Water,Surface Water,2020-10-06,08:24:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085074,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.21,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T13:24:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100462,Sample-Routine,Water,Surface Water,2020-10-06,09:06:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085068,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Phosphorus,Total,0.19,mg/l as P,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00665,NA,NA,NA,NA,NA,AKP01,USGS,"Nutrients, wu, WCA,persulfate,CF",USGS WRI 03-4174,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:06:00Z,NA,NA
USGS-WI,USGS Wisconsin Water Science Center,nwiswi.01.02100462,Sample-Routine,Water,Surface Water,2020-10-06,09:06:00,CDT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U.S. Geological Survey-Water Resources Discipline,USGS-04085068,NA,NA,"Stable, normal stage",Routine sample,USGS,USGS,USGS,Unknown,NA,Nitrate,Dissolved,1.09,mg/l as N,NA,Preliminary,NA,Actual,NA,NA,NA,NA,NA,NA,00618,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Green Bay Metropolitan Sewerage Dist. (NEW Water) Lab, WI",NA,NA,NA,NA,NA,NA,NWIS,5,2020-10-06T14:06:00Z,NA,NA
